FILIAL;CODGI;DESCR;SIGLA;IDIOMA;NOIDIOMA;DINALAD;NALADI;ALADI;COMUM;MERCOSUL;SGPC;LI;PAIS_I;ABICS;CODRIEX;SISEXP;CODFIES;SGLMEX;NASCIO;CODERP;PAISDUE
;511;CHRISTMAS,ILHA (NAVIDAD) ;*; ; ; ;2; ; ; ; ; ; ; ; ;5118; ; ; ; ;
;517;NEPAL;*; ; ; ;2; ; ; ; ; ; ; ; ;5177; ; ; ; ;
;521;NICARAGUA;*; ; ; ;2; ; ; ; ; ; ; ; ;5215; ; ; ; ;
;525;NIGER;*; ; ; ;2; ; ; ; ; ; ; ; ;5258; ; ; ; ;
;528;NIGERIA;*; ; ; ;2; ; ; ; ; ; ; ; ;5282; ; ; ; ;
;531;NIUE,ILHA;*; ; ; ;2; ; ; ; ; ; ; ; ;5312; ; ; ; ;
;535;NORFOLK,ILHA ;*; ; ; ;2; ; ; ; ; ; ; ; ;5355; ; ; ; ;
;538;NORUEGA;*; ; ; ;2; ; ; ; ; ; ; ; ;5380; ; ; ; ;
;542;NOVA CALEDONIA ;*; ; ; ;2; ; ; ; ; ; ; ; ;5428; ; ; ; ;
;548;NOVA ZELANDIA;*; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;
;556;OMA;*; ; ; ;2; ; ; ; ; ; ; ; ;5568; ; ; ; ;
;566;PACIFICO,ILHAS DO (POSSES;*; ; ; ;2; ; ; ; ; ; ; ; ;5665; ; ; ; ;
;573;PAISES BAIXOS (HOLANDA);*; ; ; ;2; ; ; ; ; ; ; ; ;5738; ; ; ; ;
;575;PALAU;*; ; ; ;2; ; ; ; ; ; ; ; ;5754; ; ; ; ;
;580;PANAMA ;*; ; ; ;2; ; ; ; ; ; ; ; ;5800; ; ; ; ;
;583;PAPUA NOVA GUINE ;*; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;
;586;PARAGUAI ;*; ; ; ;1; ; ; ; ; ;.; ; ;5860; ; ; ; ;
;589;PERU ;*; ; ; ;1; ; ; ; ; ;.; ; ;5894; ; ; ; ;
;593;PITCAIRN,ILHA;*; ; ; ;2; ; ; ; ; ; ; ; ;5932; ; ; ; ;
;599;POLINESIA FRANCESA ;*; ; ; ;2; ; ; ; ; ; ; ; ;5991; ; ; ; ;
;603;POLONIA, REPUBLICA DA;*; ; ; ;2; ; ; ; ; ; ; ; ;6033; ; ; ; ;
;611;PORTO RICO ;*; ; ; ;2; ; ; ; ; ; ; ; ;6114; ; ; ; ;
;607;PORTUGAL ;*; ; ; ;2; ; ; ; ; ; ; ; ;6076; ; ; ; ;
;623;QUENIA ;*; ; ; ;2; ; ; ; ; ; ; ; ;6238; ; ; ; ;
;628;REINO UNIDO;*; ; ; ;2; ; ; ; ; ; ; ; ;6289; ; ; ; ;
;640;REPUBLICA CENTRO-AFRICANA;*; ; ; ;2; ; ; ; ; ; ; ; ;6408; ; ; ; ;
;647;REPUBLICA DOMINICANA ;*; ; ; ;2; ; ; ; ; ; ; ; ;6475; ; ; ; ;
;660;REUNIAO, ILHA;*; ; ; ;2; ; ; ; ; ; ; ; ;6602; ; ; ; ;
;670;ROMENIA;*; ; ; ;2; ; ; ; ; ; ; ; ;6700; ; ; ; ;
;675;RUANDA ;*; ; ; ;2; ; ; ; ; ; ; ; ;6750; ; ; ; ;
;685;SAARA OCIDENTAL;*; ; ; ;2; ; ; ; ; ; ; ; ;6858; ; ; ; ;
;677;SALOMAO, ILHAS ;*; ; ; ;2; ; ; ; ; ; ; ; ;6777; ; ; ; ;
;690;SAMOA;*; ; ; ;2; ; ; ; ; ; ; ; ;6904; ; ; ; ;
;691;SAMOA AMERICANA;*; ; ; ;2; ; ; ; ; ; ; ; ;6912; ; ; ; ;
;697;SAN MARINO ;*; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;
;710;SANTA HELENA ;*; ; ; ;2; ; ; ; ; ; ; ; ;7102; ; ; ; ;
;715;SANTA LUCIA;*; ; ; ;2; ; ; ; ; ; ; ; ;7153; ; ; ; ;
;695;SAO CRISTOVAO E NEVES,ILH;*; ; ; ;2; ; ; ; ; ; ; ; ;6955; ; ; ; ;
;700;SAO PEDRO E MIQUELON ;*; ; ; ;2; ; ; ; ; ; ; ; ;7005; ; ; ; ;
;720;SAO TOME E PRINCIPE, ILHA;*; ; ; ;2; ; ; ; ; ; ; ; ;7200; ; ; ; ;
;705;SAO VICENTE E GRANADINAS ;*; ; ; ;2; ; ; ; ; ; ; ; ;7056; ; ; ; ;
;728;SENEGAL;*; ; ; ;2; ; ; ; ; ; ; ; ;7285; ; ; ; ;
;735;SERRA LEOA ;*; ; ; ;2; ; ; ; ; ; ; ; ;7358; ; ; ; ;
;731;SEYCHELLES ;*; ; ; ;2; ; ; ; ; ; ; ; ;7315; ; ; ; ;
;744;SIRIA, REPUBLICA ARABE DA;*; ; ; ;2; ; ; ; ; ; ; ; ;7447; ; ; ; ;
;748;SOMALIA;*; ; ; ;2; ; ; ; ; ; ; ; ;7480; ; ; ; ;
;750;SRI LANKA;*; ; ; ;2; ; ; ; ; ; ; ; ;7501; ; ; ; ;
;754;SUAZILANDIA;*; ; ; ;2; ; ; ; ; ; ; ; ;7544; ; ; ; ;
;759;SUDAO;*; ; ; ;2; ; ; ; ; ; ; ; ;7590; ; ; ; ;
;764;SUECIA ;*; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;
;767;SUICA;*; ; ; ;2; ; ; ; ; ; ; ; ;7676; ; ; ; ;
;770;SURINAME ;*; ; ; ;2; ; ; ; ; ; ; ; ;7706; ; ; ; ;
;776;TAILANDIA;*; ; ; ;2; ; ; ; ; ; ; ; ;7765; ; ; ; ;
;790;TCHECOSLOVAQUIA;*; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;
;782;TERRITORIO BRIT.OC.INDICO;*; ; ; ;2; ; ; ; ; ; ; ; ;7820; ; ; ; ;
;795;TIMOR LESTE;*; ; ; ;2; ; ; ; ; ; ; ; ;7951; ; ; ; ;
;800;TOGO ;*; ; ; ;2; ; ; ; ; ; ; ; ;8001; ; ; ; ;
;810;TONGA;*; ; ; ;2; ; ; ; ; ; ; ; ;8109; ; ; ; ;
;805;TOQUELAU,ILHAS ;*; ; ; ;2; ; ; ; ; ; ; ; ;8052; ; ; ; ;
;815;TRINIDAD E TOBAGO;*; ; ; ;2; ; ; ; ; ; ; ; ;8150; ; ; ; ;
;820;TUNISIA;*; ; ; ;2; ; ; ; ; ; ; ; ;8206; ; ; ; ;
;823;TURCAS E CAICOS,ILHAS;*; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;
;827;TURQUIA;*; ; ; ;2; ; ; ; ; ; ; ; ;8273; ; ; ; ;
;828;TUVALU ;*; ; ; ;2; ; ; ; ; ; ; ; ;8281; ; ; ; ;
;833;UGANDA ;*; ; ; ;2; ; ; ; ; ; ; ; ;8338; ; ; ; ;
;840;URSS ;*; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;
;845;URUGUAI;*; ; ; ;1; ; ; ; ; ;.; ; ;8451; ; ; ; ;
;551;VANUATU;*; ; ; ;2; ; ; ; ; ; ; ; ;5517; ; ; ; ;
;848;VATICANO, EST.DA CIDADE D;*; ; ; ;2; ; ; ; ; ; ; ; ;8486; ; ; ; ;
;850;VENEZUELA;*; ; ; ;1; ; ; ; ; ;.; ; ;8508; ; ; ; ;
;858;VIETNA ;*; ; ; ;2; ; ; ; ; ; ; ; ;8583; ; ; ; ;
;863;VIRGENS,ILHAS (BRITANICAS;*; ; ; ;2; ; ; ; ; ; ; ; ;8630; ; ; ; ;
;866;VIRGENS,ILHAS (E.U.A.) ;*; ; ; ;2; ; ; ; ; ; ; ; ;8664; ; ; ; ;
;875;WALLIS E FUTUNA, ILHAS ;*; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;
;888;CONGO, REPUBLICA DEMOCRAT;*; ; ; ;2; ; ; ; ; ; ; ; ;8885; ; ; ; ;
;890;ZAMBIA ;*; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;
;665;ZIMBABUE ;*; ; ; ;2; ; ; ; ; ; ; ; ;6653; ; ; ; ;
;997;ORGANIZACOES INTERNACIONA;*; ; ; ;2; ; ; ; ; ; ; ; ;9970; ; ; ; ;
;999;DIVERSOS ;*; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;
;087;BELGICA;*; ; ; ;2; ; ; ; ; ; ; ; ;0876; ; ; ; ;
